#Edges 46to44 31to27 46to49 50to49 32to48 4to25 43to60 49to51 32to44 51to50 23to24 23to22 34to44 51to49 11to8 22to16 45to41 44to43 8to12 5to19 44to46 26to27 26to25 10to8 26to20 12to13 50to47 26to29 12to14 19to7 19to5 30to32 35to41 30to34 8to7 36to33 16to22 36to35 33to34 42to43 60to59 13to21 13to20 50to51 49to46 24to23 21to50 21to53 38to40 48to53 1to2 47to48 42to36 37to25 36to42 22to23 22to21 9to7 7to8 7to9 14to12 28to54 18to17 14to17 48to47 41to40 17to14 51to52 20to26 2to25 16to17 60to43 16to15 54to28 37to38 38to29 53to21 58to61 20to12 20to13 47to46 20to19 62to61 59to60 6to5 61to45 5to6 5to4 5to3 41to35 58to55 34to42 40to1 3to2 28to30 40to38 19to20 38to37 27to28 49to50 54to32 15to16 15to13 56to57 56to55 17to18 4to5 59to55 61to58 17to16 25to26 55to56 12to8 29to26 33to31 55to58 55to59 12to20 28to27 25to4 35to36 43to45 43to42 25to2 25to37 56to23 21to13 2to3 8to11 8to10 59to49 3to5 61to60 61to62 31to30 57to56 50to21 29to35 35to29 7to19 21to22 54to53 23to56 60to61 53to48 45to61 13to15 13to12 49to59 52to51 27to26 53to54
VehicleNumber(avg) 7.613395 2.371203 10.363566 2.291702 3.885662 3.386348 15.692981 2.726146 1.672258 2.335207 1.067101 4.144543 3.672130 2.795735 4.106744 6.676935 3.195040 4.157199 6.356616 5.027630 6.385018 3.679166 7.583662 2.609662 16.980136 2.534795 4.997769 5.023254 3.015145 5.221426 4.882701 2.121632 1.298610 1.189549 4.478291 2.394886 7.466664 4.299940 0.888021 3.689592 3.964733 8.778145 12.435430 2.246825 5.647975 1.555003 9.600952 13.335378 0.370302 6.693882 1.844646 0.748370 2.452420 1.875107 1.338296 3.981551 17.321392 4.664879 4.246696 4.388236 3.756650 3.168612 2.219753 9.937790 0.870388 3.626781 9.304230 0.393985 17.416381 4.656427 1.108589 14.629097 8.156727 3.685902 1.062039 2.589025 12.327570 9.312682 13.133302 11.551141 2.751330 4.657500 3.177621 3.439549 5.216664 6.499657 4.731165 2.270851 2.411146 1.957311 3.498799 1.807191 3.020036 0.962888 2.262013 1.019006 5.239531 0.723099 0.889480 3.781448 1.950532 8.492663 2.814870 2.309808 4.165179 1.987858 3.197357 15.724386 9.691565 1.020379 9.596190 4.339154 6.635104 6.489875 1.247898 3.049597 15.672988 12.197143 0.878111 2.430153 4.117170 2.304445 5.097692 2.586451 2.273211 8.202806 8.503518 1.246782 3.656255 2.285696 5.368972 3.690106 5.866870 2.913978 0.449417 2.566243 9.145958 5.789343 3.988631 5.346962 15.460786 2.167539 7.528617 6.256049 2.255749 5.938562 2.085035 2.626437 4.957654 0.749828 4.334134 2.811653
VehicleNumber(stdDev) 3.667428 1.824014 4.701330 1.856529 2.323745 2.418909 6.502435 1.913491 1.469929 1.699645 1.355870 2.310225 2.535541 1.951362 2.278947 3.054980 1.999156 3.334506 3.386619 2.688813 3.499852 2.539568 3.859633 1.741299 6.582234 1.808167 2.756880 3.908948 2.111139 2.865456 2.807594 1.714576 1.314982 1.176076 2.591454 1.836708 3.335285 2.974263 1.051524 2.734169 2.323271 4.192141 5.090977 1.662240 3.017203 1.564698 3.965558 5.505989 0.635019 3.579726 1.522702 0.950987 2.447705 1.453316 1.513618 2.391045 6.726157 2.559917 2.553894 2.387218 2.457566 2.145987 1.607864 4.255201 1.028457 2.225802 4.060739 0.678023 6.851291 2.505586 1.250161 5.232080 3.666897 2.291180 1.178294 1.818076 5.308421 3.796440 5.340391 4.502512 1.913465 2.837792 1.963200 2.237888 2.649250 3.019664 2.604513 2.022432 1.641723 1.583180 2.144463 1.716018 1.946553 1.018132 1.767444 1.094877 3.115667 0.856558 1.336208 2.530327 1.543961 3.803714 1.967670 1.564607 2.388154 1.432114 2.267980 5.863309 4.104132 1.073243 4.925998 2.501141 3.284149 4.741139 1.199323 1.976660 5.777255 4.965226 1.194467 2.079789 3.094661 1.638514 3.323426 1.781900 1.683771 3.600075 3.832027 1.170040 2.213330 1.593525 2.995025 2.142958 2.788632 1.890341 0.695895 1.848621 4.318879 4.614585 3.633360 2.904751 6.078526 1.875990 3.163674 3.243625 1.725952 2.883232 1.694810 1.983980 2.750316 0.961911 2.880625 2.079540
MeanSpeed(avg)(m/s) 12.117153 12.187902 11.639398 11.762617 12.256313 12.416076 13.293024 12.661916 12.443985 12.879118 13.566422 11.732278 11.369988 12.262515 12.937274 13.084248 13.427462 10.712331 12.467209 12.456644 12.388050 11.533281 11.183385 12.738291 10.975383 11.531937 13.514809 10.358997 13.572352 12.391426 12.517168 13.346563 13.382131 13.600829 12.853894 13.383534 12.782127 10.321539 12.940041 10.853062 11.176211 12.400814 13.012406 12.762704 12.752951 11.868868 12.496778 12.648357 13.692513 12.779791 12.776581 13.618502 12.668933 12.684999 11.965322 11.902393 12.415207 13.166176 12.843236 13.550813 12.680689 13.473545 13.242679 12.480608 13.454011 13.498346 13.596373 13.713633 11.612307 12.073706 12.035432 12.679484 13.568635 13.550817 13.678634 12.346288 12.556503 12.535377 11.297906 12.691936 12.280360 11.515121 13.098132 12.166329 13.208059 13.576027 13.529881 13.548833 13.617103 11.876664 12.999801 11.430745 13.653951 13.632805 13.499696 13.518870 11.254757 13.688024 13.131752 11.694416 13.606657 12.833199 12.224859 13.561121 13.026014 13.563285 11.170791 12.676667 13.628514 11.978812 10.118169 12.950753 11.906029 9.000863 13.604850 13.610881 13.038442 11.949025 11.912696 13.540066 13.507092 13.223008 10.733832 13.102785 13.586321 13.316179 12.552885 13.651691 13.579217 13.583677 12.108980 12.248374 12.437775 13.550221 13.465101 12.945662 12.164792 11.075800 10.879313 12.780666 12.643505 12.010748 13.050970 12.625071 13.297754 13.487478 13.579333 11.379537 12.524468 12.303519 10.606295 13.492568
MeanSpeed(stdDev)(m/s) 2.392078 2.717719 2.416516 3.096290 2.442026 2.341940 0.347191 2.055823 2.458259 1.810487 0.669525 3.144595 2.928791 2.441297 1.565965 1.342217 0.452713 3.473145 1.938745 2.194310 2.300634 3.380451 2.654365 1.773476 2.985994 3.010358 0.301355 4.367006 0.341650 2.029303 1.782820 0.832973 0.959781 0.550931 1.335214 0.638043 1.749495 3.681143 1.607025 3.636765 3.737758 2.034560 1.045297 1.903286 1.908690 3.338295 2.080652 1.606352 0.647315 1.694874 1.926634 0.772659 1.551283 1.944980 3.136221 3.035732 1.735252 1.256041 1.792850 0.262406 1.850454 0.508290 1.226177 1.876001 0.937024 0.332276 0.178975 0.610893 2.197229 2.237185 2.767250 1.781817 0.209210 0.299199 0.444440 2.438070 1.735372 1.965569 2.904213 1.816667 2.608052 3.155359 1.445265 2.089645 1.183716 0.324646 0.270476 0.436402 0.334411 2.979499 1.704001 3.483521 0.235283 0.671940 0.506122 0.816366 2.754091 0.532303 1.415660 2.999350 0.387300 1.682113 2.707056 0.386421 1.461312 0.417736 3.322707 1.783173 0.162281 2.863706 3.814619 1.454868 2.453505 4.221570 0.504099 0.312272 1.054853 2.292342 3.389828 0.465794 0.425442 0.961847 3.861099 1.529430 0.406128 0.798757 1.866270 0.415694 0.315436 0.371021 2.499262 2.338139 2.019773 0.335852 1.074701 1.579203 2.040165 3.153896 4.036701 1.655745 1.599657 3.054371 1.513091 1.977541 1.149923 0.754822 0.387966 3.285580 2.104994 2.782187 3.474748 0.493676
HaltingVehicles(avg) 0.731551 0.391110 1.225159 0.496997 0.397460 0.474987 0.093401 0.317616 0.256950 0.165565 0.006736 0.511627 0.727862 0.408572 0.217822 0.314141 0.006779 1.182083 0.373563 0.442724 0.484941 0.562468 1.027201 0.249228 1.527802 0.570148 0.005964 1.212802 0.006393 0.354814 0.647632 0.008538 0.006693 0.005449 0.447271 0.005878 0.280805 1.231508 0.022782 0.802814 0.703793 0.471512 0.494165 0.179724 0.356144 0.372790 0.490218 0.594474 0.005663 0.554359 0.205251 0.016432 0.021452 0.243522 0.398318 0.392569 0.817187 0.196799 0.354170 0.006092 0.597692 0.006393 0.127982 0.319461 0.004934 0.006007 0.007337 0.006049 1.615154 0.529217 0.430153 0.636992 0.006393 0.006178 0.006092 0.333534 0.559078 0.263386 1.148318 0.224000 0.351467 0.679123 0.194740 0.465591 0.203664 0.006049 0.006350 0.005663 0.006993 0.417711 0.207139 0.533165 0.005792 0.013515 0.005406 0.009138 1.025313 0.006993 0.013643 0.588425 0.005406 0.370517 0.479149 0.006436 0.238244 0.006521 0.839926 0.309722 0.005749 0.323065 2.148876 0.193667 0.682212 2.097134 0.006092 0.005749 0.384718 0.766990 0.373649 0.005535 0.005535 0.006736 0.975416 0.201261 0.005706 0.315171 0.453192 0.006049 0.006779 0.005878 0.621203 0.328685 0.377853 0.005706 0.009997 0.194697 0.680710 0.845933 0.910203 0.495624 0.654925 0.442466 0.161103 0.354213 0.128797 0.126523 0.005921 0.670971 0.433499 0.289343 1.080745 0.006178
HaltingVehicles(stdDev) 1.330900 0.859552 1.996633 1.026105 0.847824 1.245352 0.388375 0.746587 0.608282 0.490168 0.081796 1.098540 1.266810 0.862082 0.549705 0.707285 0.082054 2.106334 0.744247 1.001555 1.256214 1.210227 1.605919 0.626322 2.248095 1.011651 0.076994 2.351698 0.079698 0.882823 1.216079 0.093394 0.081536 0.073614 0.928733 0.076441 0.681875 1.957599 0.173163 1.511550 1.397935 0.962621 0.994239 0.511752 0.802558 0.859881 1.054886 1.174952 0.075041 1.095495 0.555488 0.132096 0.176400 0.580627 0.889849 1.025168 1.767968 0.528259 0.834908 0.077815 1.184799 0.079698 0.470661 0.774222 0.070068 0.077269 0.085339 0.077542 2.320046 0.937490 0.889253 1.257918 0.079698 0.078358 0.077815 0.743056 1.159897 0.570500 1.771147 0.673784 0.771154 1.356188 0.519777 0.951352 0.567943 0.077542 0.079432 0.075041 0.083333 0.879694 0.535985 1.078388 0.075884 0.119122 0.073326 0.095607 1.735652 0.083333 0.128298 1.203236 0.073326 0.822871 1.004556 0.079963 0.609195 0.080491 1.524439 0.815246 0.075605 0.678032 2.807014 0.591390 1.171920 3.200430 0.077815 0.075605 0.783311 1.342298 0.856608 0.074189 0.074189 0.081796 1.848275 0.565925 0.075324 0.686941 0.899915 0.077542 0.082054 0.076441 1.209599 0.710102 0.811663 0.075324 0.104118 0.526640 1.298305 2.005674 2.057721 0.986057 1.246370 0.959535 0.486476 0.852510 0.396665 0.442986 0.076718 1.193730 0.997937 0.638312 1.688960 0.078904
HaltingLength(avg)(m) 4.652051 4.226660 4.760383 4.111678 4.554016 4.463489 4.739360 4.309679 3.840741 4.223228 2.701862 4.666424 4.534709 4.300240 4.662348 4.715548 4.521194 4.246611 4.757808 4.722842 4.694740 4.454479 4.771538 4.425519 4.783980 4.315900 4.634460 4.285868 4.407500 4.679938 4.624378 4.030376 3.349923 3.333405 4.611721 4.135704 4.755663 4.522482 2.683842 4.416080 4.639823 4.692380 4.755234 4.207139 4.628239 3.408701 4.760383 4.732066 1.478891 4.700961 3.961944 2.457740 3.732624 4.008066 3.160932 4.590698 4.706968 4.700532 4.674361 4.699888 4.558092 4.441608 4.318045 4.760168 2.686846 4.567530 4.812511 1.521152 4.759310 4.612794 2.963146 4.827313 4.827098 4.550154 2.974086 4.350009 4.783980 4.842758 4.791917 4.756950 4.328771 4.600352 4.608074 4.566029 4.811438 4.815943 4.663206 3.984683 4.407285 3.965162 4.650120 3.701519 4.548438 2.997469 4.161232 2.997683 4.620302 2.526171 2.258023 4.579973 4.106530 4.797280 4.466707 4.356873 4.602282 4.257551 4.437318 4.765531 4.867857 3.082418 4.685730 4.696671 4.685516 4.464132 3.372018 4.467994 4.918483 4.726918 2.372576 4.013214 4.350438 4.300240 4.590269 4.354299 4.146859 4.752660 4.661704 3.425433 4.636391 4.251115 4.698816 4.621804 4.735928 4.573537 1.741462 4.380685 4.700532 4.407500 4.030805 4.650335 4.746868 3.957654 4.836537 4.775399 4.126480 4.795778 4.039386 4.288013 4.701819 2.454737 4.621160 4.299811
HaltingLength(stdDev)(m) 1.272273 1.807939 1.068022 1.911150 1.425138 1.547485 1.111426 1.724837 2.110074 1.811211 2.491837 1.247641 1.452570 1.734686 1.254692 1.158165 1.471317 1.788673 1.073453 1.144104 1.197128 1.558849 1.044086 1.594483 1.016581 1.718286 1.301568 1.749479 1.615997 1.223875 1.317960 1.976854 2.351092 2.356997 1.338145 1.890627 1.077953 1.469547 2.493231 1.605813 1.292732 1.201444 1.078851 1.826383 1.311716 2.329005 1.068022 1.126002 2.281959 1.185652 2.027984 2.499643 2.175003 1.993925 2.411051 1.370759 1.174434 1.186448 1.233757 1.187641 1.419246 1.574852 1.716016 1.068475 2.493008 1.405460 0.949892 2.300403 1.070289 1.336451 2.456725 0.913026 0.913573 1.430687 2.454637 1.681508 1.016581 0.872631 0.998557 1.075256 1.704581 1.355921 1.343883 1.407666 0.952499 0.941492 1.253212 2.011396 1.616250 2.025660 1.275533 2.192340 1.433144 2.450005 1.868236 2.449962 1.324507 2.499863 2.488262 1.386980 1.915479 0.986157 1.543394 1.673924 1.352926 1.777924 1.580127 1.057057 0.802032 2.431211 1.213500 1.193582 1.213887 1.546669 2.342986 1.541752 0.633199 1.136150 2.496751 1.990021 1.681036 1.734686 1.371413 1.676775 1.880918 1.084215 1.255801 2.322407 1.298397 1.784263 1.189625 1.322100 1.118315 1.396583 2.382146 1.647126 1.186448 1.615997 1.976521 1.275171 1.096168 2.031070 0.889155 1.035644 1.898568 0.989647 1.969846 1.747287 1.184058 2.499590 1.323133 1.735131
Occupation(avg)(m) 0.014559 0.013621 0.017355 0.011178 0.010020 0.014545 0.012226 0.006903 0.007170 0.006907 0.007447 0.013041 0.018025 0.007079 0.004020 0.006934 0.012097 0.037570 0.007114 0.010653 0.012210 0.017228 0.018685 0.005181 0.022759 0.010541 0.008463 0.041069 0.008325 0.010494 0.010345 0.008980 0.007732 0.010239 0.008753 0.031796 0.007754 0.031405 0.022020 0.022900 0.015397 0.009015 0.009532 0.006646 0.009458 0.010852 0.011126 0.010009 0.003147 0.011318 0.006795 0.006581 0.037570 0.005573 0.020502 0.012528 0.012495 0.004730 0.008301 0.004450 0.010372 0.010387 0.004885 0.008703 0.007654 0.011058 0.008148 0.004808 0.023344 0.008268 0.017324 0.011397 0.006738 0.012083 0.006904 0.010363 0.009253 0.004116 0.009605 0.008854 0.011317 0.016760 0.004199 0.013357 0.003876 0.003291 0.003515 0.011489 0.004271 0.011655 0.004591 0.023850 0.005758 0.004419 0.011986 0.008660 0.018854 0.004700 0.023425 0.018444 0.005695 0.007016 0.008953 0.004299 0.005944 0.004374 0.016179 0.007850 0.004284 0.015945 0.023644 0.006192 0.007426 0.053060 0.016415 0.004001 0.007824 0.008916 0.023125 0.010439 0.030070 0.012074 0.031640 0.004593 0.006756 0.005903 0.008733 0.005722 0.003577 0.004538 0.011236 0.006537 0.008363 0.003850 0.008733 0.004776 0.010599 0.046882 0.032300 0.010746 0.011153 0.011943 0.005418 0.008929 0.003814 0.003007 0.006632 0.010922 0.010375 0.009151 0.020295 0.015492
Occupation(stdDev)(m) 0.007013 0.010478 0.007873 0.009055 0.005992 0.010390 0.005066 0.004845 0.006302 0.005027 0.009462 0.007269 0.012446 0.004941 0.002231 0.003173 0.007569 0.030135 0.003790 0.005697 0.006693 0.011892 0.009510 0.003457 0.008822 0.007519 0.004668 0.031959 0.005829 0.005759 0.005949 0.007257 0.007830 0.010123 0.005065 0.024385 0.003464 0.021723 0.026074 0.016970 0.009022 0.004305 0.003902 0.004917 0.005053 0.010919 0.004595 0.004133 0.005397 0.006053 0.005609 0.008363 0.037498 0.004320 0.023188 0.007523 0.004852 0.002596 0.004992 0.002421 0.006785 0.007035 0.003538 0.003727 0.009044 0.006786 0.003556 0.008275 0.009183 0.004449 0.019536 0.004076 0.003029 0.007511 0.007659 0.007277 0.003984 0.001678 0.003906 0.003451 0.007870 0.010212 0.002594 0.008691 0.001968 0.001529 0.001935 0.010232 0.002908 0.009427 0.002814 0.022647 0.003712 0.004672 0.009365 0.009305 0.011211 0.005568 0.035189 0.012341 0.004508 0.003142 0.006258 0.002912 0.003408 0.003151 0.011476 0.002927 0.001814 0.016772 0.012137 0.003569 0.003676 0.038763 0.015776 0.002594 0.002884 0.003630 0.031457 0.008934 0.022602 0.008585 0.020628 0.003164 0.005004 0.002591 0.003935 0.005370 0.002165 0.003164 0.006268 0.003796 0.003975 0.002498 0.013523 0.003441 0.005005 0.037369 0.029423 0.005838 0.004385 0.010337 0.002277 0.004630 0.002918 0.001460 0.005390 0.008250 0.005756 0.011740 0.013489 0.011458
