#step loaded departed running arrived
0 0 1 1 0
1 1 2 2 0
2 2 3 3 0
3 3 4 4 0
4 4 5 5 0
5 5 6 6 0
6 6 7 7 0
7 7 8 8 0
8 8 9 9 0
9 9 10 10 0
10 10 11 11 0
11 11 12 12 0
12 12 13 13 0
13 13 14 14 0
14 14 15 15 0
15 15 16 16 0
16 16 17 17 0
17 17 18 18 0
18 18 19 19 0
19 19 19 19 0
20 20 20 20 0
21 21 22 22 0
22 22 23 23 0
23 23 24 24 0
24 24 25 25 0
25 25 26 26 0
26 26 27 27 0
27 27 28 28 0
28 28 29 29 0
29 29 30 30 0
30 30 31 31 0
31 31 32 32 0
32 32 33 33 0
33 33 34 34 0
34 34 35 35 0
35 35 36 36 0
36 36 37 37 0
37 37 38 38 0
38 38 39 39 0
39 39 40 40 0
40 40 41 41 0
41 41 42 42 0
42 42 43 43 0
43 43 44 44 0
44 44 45 45 0
45 45 46 46 0
46 46 47 47 0
47 47 48 48 0
48 48 49 49 0
49 49 50 50 0
50 50 51 51 0
51 51 52 52 0
52 52 53 53 0
53 53 54 54 0
54 54 55 55 0
55 55 56 56 0
56 56 57 57 0
57 57 58 58 0
58 58 59 59 0
59 59 60 60 0
60 60 61 61 0
61 61 62 62 0
62 62 63 63 0
63 63 64 64 0
64 64 65 65 0
65 65 66 66 0
66 66 67 67 0
67 67 68 68 0
68 68 69 69 0
69 69 70 70 0
70 70 71 71 0
71 71 72 72 0
72 72 73 73 0
73 73 74 74 0
74 74 75 75 0
75 75 76 76 0
76 76 77 77 0
77 77 78 78 0
78 78 79 79 0
79 79 80 80 0
80 80 81 81 0
81 81 82 82 0
82 82 83 83 0
83 83 84 84 0
84 84 85 85 0
85 85 86 86 0
86 86 87 87 0
87 87 88 88 0
88 88 89 89 0
89 89 90 90 0
90 90 91 91 0
91 91 92 92 0
92 92 93 93 0
93 93 94 94 0
94 94 95 95 0
95 95 96 96 0
96 96 96 96 0
97 97 97 97 0
98 98 98 98 0
99 99 100 100 0
100 100 101 101 0
101 101 102 102 0
102 102 103 103 0
103 103 104 104 0
104 104 105 105 0
105 105 106 106 0
106 106 107 107 0
107 107 108 108 0
108 108 108 108 0
109 109 110 110 0
110 110 111 111 0
111 111 112 112 0
112 112 113 113 0
113 113 114 114 0
114 114 115 115 0
115 115 116 116 0
116 116 117 117 0
117 117 118 118 0
118 118 119 119 0
119 119 120 120 0
120 120 121 121 0
121 121 122 122 0
122 122 123 123 0
123 123 124 124 0
124 124 125 125 0
125 125 126 126 0
126 126 126 126 0
127 127 128 128 0
128 128 129 129 0
129 129 130 130 0
130 130 131 131 0
131 131 132 132 0
132 132 133 133 0
133 133 134 134 0
134 134 135 135 0
135 135 136 136 0
136 136 137 137 0
137 137 138 138 0
138 138 139 139 0
139 139 140 140 0
140 140 141 141 0
141 141 142 142 0
142 142 143 143 0
143 143 144 144 0
144 144 145 145 0
145 145 146 146 0
146 146 147 147 0
147 147 148 148 0
148 148 149 149 0
149 149 150 150 0
150 150 151 151 0
151 151 152 152 0
152 152 153 153 0
153 153 154 154 0
154 154 155 155 0
155 155 156 156 0
156 156 157 157 0
157 157 158 158 0
158 158 159 159 0
159 159 160 160 0
160 160 161 161 0
161 161 162 162 0
162 162 163 163 0
163 163 164 164 0
164 164 165 165 0
165 165 166 166 0
166 166 167 167 0
167 167 168 168 0
168 168 169 169 0
169 169 170 170 0
170 170 171 171 0
171 171 172 172 0
172 172 173 173 0
173 173 174 174 0
174 174 175 175 0
175 175 176 176 0
176 176 177 177 0
177 177 178 178 0
178 178 179 179 0
179 179 180 180 0
180 180 181 181 0
181 181 182 182 0
182 182 183 183 0
183 183 184 184 0
184 184 185 185 0
185 185 186 186 0
186 186 187 187 0
187 187 188 188 0
188 188 189 189 0
189 189 190 190 0
190 190 191 191 0
191 191 192 192 0
192 192 193 193 0
193 193 194 194 0
194 194 195 195 0
195 195 196 196 0
196 196 197 197 0
197 197 198 198 0
198 198 199 199 0
199 199 200 200 0
200 200 201 201 0
201 201 202 202 0
202 202 203 203 0
203 203 204 204 0
204 204 205 205 0
205 205 206 206 0
206 206 207 206 1
207 207 208 207 1
208 208 209 208 1
209 209 210 209 1
210 210 211 210 1
211 211 212 211 1
212 212 213 212 1
213 213 214 213 1
214 214 215 214 1
215 215 216 215 1
216 216 217 216 1
217 217 218 217 1
218 218 219 218 1
219 219 220 219 1
220 220 221 220 1
221 221 222 221 1
222 222 223 222 1
223 223 224 223 1
224 224 225 224 1
225 225 226 225 1
226 226 227 226 1
227 227 228 227 1
228 228 229 228 1
229 229 230 229 1
230 230 231 230 1
231 231 232 231 1
232 232 233 232 1
233 233 234 233 1
234 234 235 234 1
235 235 236 235 1
236 236 237 236 1
237 237 238 236 2
238 238 239 237 2
239 239 240 238 2
240 240 241 239 2
241 241 242 240 2
242 242 243 241 2
243 243 244 242 2
244 244 245 243 2
245 245 246 244 2
246 246 247 245 2
247 247 248 246 2
248 248 249 247 2
249 249 250 248 2
